instant;dteday;season;yr;mnth;hr;holiday;weekday;workingday
1;01.01.11;1;0;1;0;0;6;0
2;01.01.11;1;0;1;1;0;6;0
3;01.01.11;1;0;1;2;0;6;0
4;01.01.11;1;0;1;3;0;6;0
5;01.01.11;1;0;1;4;0;6;0
6;01.01.11;1;0;1;5;0;6;0
7;01.01.11;1;0;1;6;0;6;0
8;01.01.11;1;0;1;7;0;6;0
9;01.01.11;1;0;1;8;0;6;0
10;01.01.11;1;0;1;9;0;6;0
11;01.01.11;1;0;1;10;0;6;0
12;01.01.11;1;0;1;11;0;6;0
13;01.01.11;1;0;1;12;0;6;0
14;01.01.11;1;0;1;13;0;6;0
15;01.01.11;1;0;1;14;0;6;0
16;01.01.11;1;0;1;15;0;6;0
17;01.01.11;1;0;1;16;0;6;0
18;01.01.11;1;0;1;17;0;6;0
19;01.01.11;1;0;1;18;0;6;0
20;01.01.11;1;0;1;19;0;6;0
21;01.01.11;1;0;1;20;0;6;0
22;01.01.11;1;0;1;21;0;6;0
23;01.01.11;1;0;1;22;0;6;0
24;01.01.11;1;0;1;23;0;6;0
25;02.01.11;1;0;1;0;0;0;0
26;02.01.11;1;0;1;1;0;0;0
27;02.01.11;1;0;1;2;0;0;0
28;02.01.11;1;0;1;3;0;0;0
29;02.01.11;1;0;1;4;0;0;0
30;02.01.11;1;0;1;6;0;0;0
31;02.01.11;1;0;1;7;0;0;0
32;02.01.11;1;0;1;8;0;0;0
33;02.01.11;1;0;1;9;0;0;0
34;02.01.11;1;0;1;10;0;0;0
35;02.01.11;1;0;1;11;0;0;0
36;02.01.11;1;0;1;12;0;0;0
37;02.01.11;1;0;1;13;0;0;0
38;02.01.11;1;0;1;14;0;0;0
39;02.01.11;1;0;1;15;0;0;0
40;02.01.11;1;0;1;16;0;0;0
41;02.01.11;1;0;1;17;0;0;0
42;02.01.11;1;0;1;18;0;0;0
43;02.01.11;1;0;1;19;0;0;0
44;02.01.11;1;0;1;20;0;0;0
45;02.01.11;1;0;1;21;0;0;0
46;02.01.11;1;0;1;22;0;0;0
47;02.01.11;1;0;1;23;0;0;0
48;03.01.11;1;0;1;0;0;1;1
49;03.01.11;1;0;1;1;0;1;1
50;03.01.11;1;0;1;4;0;1;1
51;03.01.11;1;0;1;5;0;1;1
52;03.01.11;1;0;1;6;0;1;1
53;03.01.11;1;0;1;7;0;1;1
54;03.01.11;1;0;1;8;0;1;1
55;03.01.11;1;0;1;9;0;1;1
56;03.01.11;1;0;1;10;0;1;1
57;03.01.11;1;0;1;11;0;1;1
58;03.01.11;1;0;1;12;0;1;1
59;03.01.11;1;0;1;13;0;1;1
60;03.01.11;1;0;1;14;0;1;1
61;03.01.11;1;0;1;15;0;1;1
62;03.01.11;1;0;1;16;0;1;1
63;03.01.11;1;0;1;17;0;1;1
64;03.01.11;1;0;1;18;0;1;1
65;03.01.11;1;0;1;19;0;1;1
66;03.01.11;1;0;1;20;0;1;1
67;03.01.11;1;0;1;21;0;1;1
68;03.01.11;1;0;1;22;0;1;1
69;03.01.11;1;0;1;23;0;1;1
70;04.01.11;1;0;1;0;0;2;1
71;04.01.11;1;0;1;1;0;2;1
72;04.01.11;1;0;1;2;0;2;1
73;04.01.11;1;0;1;4;0;2;1
74;04.01.11;1;0;1;5;0;2;1
75;04.01.11;1;0;1;6;0;2;1
76;04.01.11;1;0;1;7;0;2;1
77;04.01.11;1;0;1;8;0;2;1
78;04.01.11;1;0;1;9;0;2;1
79;04.01.11;1;0;1;10;0;2;1
80;04.01.11;1;0;1;11;0;2;1
81;04.01.11;1;0;1;12;0;2;1
82;04.01.11;1;0;1;13;0;2;1
83;04.01.11;1;0;1;14;0;2;1
84;04.01.11;1;0;1;15;0;2;1
85;04.01.11;1;0;1;16;0;2;1
86;04.01.11;1;0;1;17;0;2;1
87;04.01.11;1;0;1;18;0;2;1
88;04.01.11;1;0;1;19;0;2;1
89;04.01.11;1;0;1;20;0;2;1
90;04.01.11;1;0;1;21;0;2;1
91;04.01.11;1;0;1;22;0;2;1
92;04.01.11;1;0;1;23;0;2;1
93;05.01.11;1;0;1;0;0;3;1
94;05.01.11;1;0;1;1;0;3;1
95;05.01.11;1;0;1;2;0;3;1
96;05.01.11;1;0;1;4;0;3;1
97;05.01.11;1;0;1;5;0;3;1
98;05.01.11;1;0;1;6;0;3;1
99;05.01.11;1;0;1;7;0;3;1
100;05.01.11;1;0;1;8;0;3;1
101;05.01.11;1;0;1;9;0;3;1
102;05.01.11;1;0;1;10;0;3;1
103;05.01.11;1;0;1;11;0;3;1
104;05.01.11;1;0;1;12;0;3;1
105;05.01.11;1;0;1;13;0;3;1
106;05.01.11;1;0;1;14;0;3;1
107;05.01.11;1;0;1;15;0;3;1
108;05.01.11;1;0;1;16;0;3;1
109;05.01.11;1;0;1;17;0;3;1
110;05.01.11;1;0;1;18;0;3;1
111;05.01.11;1;0;1;19;0;3;1
112;05.01.11;1;0;1;20;0;3;1
113;05.01.11;1;0;1;21;0;3;1
114;05.01.11;1;0;1;22;0;3;1
115;05.01.11;1;0;1;23;0;3;1
116;06.01.11;1;0;1;0;0;4;1
117;06.01.11;1;0;1;1;0;4;1
118;06.01.11;1;0;1;2;0;4;1
119;06.01.11;1;0;1;4;0;4;1
120;06.01.11;1;0;1;5;0;4;1
121;06.01.11;1;0;1;6;0;4;1
122;06.01.11;1;0;1;7;0;4;1
123;06.01.11;1;0;1;8;0;4;1
124;06.01.11;1;0;1;9;0;4;1
125;06.01.11;1;0;1;10;0;4;1
